Per-sample gradient bias/variance at fixed anchor points
distributions=['standard_normal', 'shifted_normal', 'scaled_normal', 'laplace', 'student_t5', 'uniform', 'mixture_gauss', 'skewnormal']
anchors=[-1.5, -0.5, 0.5, 1.5], Ns=[16, 32, 64, 128, 256, 512, 1024, 2048, 4096], n_seeds=2000
Aggregation: median over seeds (IQR / std).

loss  distribution           y*      N        med grad       std grad  |med|/std
--------------------------------------------------------------------------------------
tep   standard_normal     -1.50    128     -4.8452e-03     4.7183e-02      0.103
tep   standard_normal     -1.50    256     -1.2604e-03     3.1635e-02      0.040
tep   standard_normal     -1.50    512     -1.0953e-03     2.3051e-02      0.048
tep   standard_normal     -1.50   1024     -2.1830e-04     1.6523e-02      0.013
tep   standard_normal     -1.50   2048     -3.0863e-04     1.1311e-02      0.027
tep   standard_normal     -1.50   4096     -4.5866e-04     8.0720e-03      0.057
tep   standard_normal     -0.50     16     -2.0895e-02     1.9857e-01      0.105
tep   standard_normal     -0.50     32     -6.2631e-03     1.4019e-01      0.045
tep   standard_normal     -0.50     64     +1.6308e-04     9.9551e-02      0.002
tep   standard_normal     -0.50    128     +1.9848e-04     7.2098e-02      0.003
tep   standard_normal     -0.50    256     -1.9027e-04     5.0040e-02      0.004
tep   standard_normal     -0.50    512     -8.8720e-04     3.6160e-02      0.025
tep   standard_normal     -0.50   1024     -6.0789e-04     2.5000e-02      0.024
tep   standard_normal     -0.50   2048     -4.8682e-04     1.7874e-02      0.027
tep   standard_normal     -0.50   4096     -1.1501e-04     1.2545e-02      0.009
tep   standard_normal     +0.50     16     +1.9155e-02     2.0207e-01      0.095
tep   standard_normal     +0.50     32     +1.2858e-02     1.4173e-01      0.091
tep   standard_normal     +0.50     64     +1.7812e-03     1.0021e-01      0.018
tep   standard_normal     +0.50    128     +3.8937e-04     7.0183e-02      0.006
tep   standard_normal     +0.50    256     +4.2799e-04     5.0333e-02      0.009
tep   standard_normal     +0.50    512     +1.9267e-04     3.5546e-02      0.005
tep   standard_normal     +0.50   1024     -1.6835e-04     2.5530e-02      0.007
tep   standard_normal     +0.50   2048     +1.7390e-05     1.7769e-02      0.001
tep   standard_normal     +0.50   4096     +2.4216e-04     1.2583e-02      0.019
tep   standard_normal     +1.50     16     +3.8146e-02     1.2424e-01      0.307
tep   standard_normal     +1.50     32     +1.8528e-02     9.0438e-02      0.205
tep   standard_normal     +1.50     64     +7.3182e-03     6.4574e-02      0.113
